261067,0,0
383324,0,0
296593,0,0
75024,0,0
-228922,0,0
-535345,0,0
-568370,0,0
-545834,0,0
-429972,0,0
747,0,0
308443,0,0
391683,0,0
370798,0,0
99711,0,0
-293608,0,0
-450615,0,0
-492195,0,0
-503504,0,0
-257842,0,0
96020,0,0
405068,0,0
511828,0,0
335210,0,0
-1638,0,0
-296538,0,0
-465662,0,0
-458840,0,0
-341262,0,0
64939,0,0
372395,0,0
483697,0,0
437200,0,0
207102,0,0
-159530,0,0
-377525,0,0
-336966,0,0
-372684,0,0
-334057,0,0
112961,0,0
345865,0,0
419901,0,0
382076,0,0
96541,0,0
-232502,0,0
-423258,0,0
-527968,0,0
-549070,0,0
-255534,0,0
84816,0,0
350202,0,0
418559,0,0
252916,0,0
-45248,0,0
-371939,0,0
-553366,0,0
-584480,0,0
-523647,0,0
-355421,0,0
72309,0,0
352882,0,0
440575,0,0
251427,0,0
-51040,0,0
-364063,0,0
-585162,0,0
-650593,0,0
-581724,0,0
-259783,0,0
86330,0,0
425373,0,0
415582,0,0
176473,0,0
-146523,0,0
-442766,0,0
-607727,0,0
-623825,0,0
-547485,0,0
-251498,0,0
155746,0,0
452696,0,0
391209,0,0
129027,0,0
-199695,0,0
-457856,0,0
-586636,0,0
-595645,0,0
-413582,0,0
-46514,0,0
199446,0,0
378680,0,0
373259,0,0
165072,0,0
-161668,0,0
-393577,0,0
-452634,0,0
-428955,0,0
-340629,0,0
-28909,0,0
345870,0,0
483387,0,0
432082,0,0
116310,0,0
-229399,0,0
-416258,0,0
-490355,0,0
-430680,0,0
-217811,0,0
245477,0,0
417002,0,0
477372,0,0
272826,0,0
-67616,0,0
-346766,0,0
-468066,0,0
-395946,0,0
-185867,0,0
107000,0,0
330182,0,0
516464,0,0
407894,0,0
175318,0,0
-126666,0,0
-398509,0,0
-361113,0,0
-398125,0,0
-274701,0,0
30354,0,0
337060,0,0
422543,0,0
354455,0,0
50264,0,0
-294071,0,0
-474804,0,0
-485536,0,0
-465083,0,0
-244240,0,0
142912,0,0
269635,0,0
419940,0,0
291749,0,0
-19364,0,0
-377571,0,0
